P_mel_1	P_mel_2	P_mel_3	F1_mel_1	F1_mel_2	F1_mel_3	P_sim_1	P_sim_2	P_sim_3	F1_sim_1	F1_sim_2	F1_sim_3
FBgn0001217	72	77	77	15	6	12	205	278	352	58	76	67
FBgn0001218	58110.579	58419.973	60498.388	157	119	89	43241.456	45915.023	46975.713	26049.355	24912.191	18103.741
FBgn0001220	1665	1576	2050	776	792	679	1242.497	1376.959	1666.955	802.928	829.87	762
FBgn0001222	573.001	566	572.999	273	308	269	589	647	699	237.999	313	262
FBgn0001223	10	28	9.123	4	5	1	70	80	119	4	3	7
FBgn0001224	3	23	4	1	0	1	76	119	157	8	16	4
FBgn0001225	17	18	17	5	5	9	42	66	70	4	2	6
FBgn0001226	32	31	32	23	19	30	39	92	77	2	14	10
FBgn0001227	4	4	18	1	3	4	7	3	3	2	3	0
FBgn0001228	105.544	82	105.878	2	5	12	3	2	3	1	1	0
FBgn0001229	1	1	2	0	1	0	4	7	2	0	0	1
FBgn0001230	10	27	15	2	5	1	32	65	67	5	0	10
FBgn0001233	914	892.183	2352.003	333	307	286	1207	1258	1746.001	533	445	383
FBgn0001235	1	0	2	0	1	1	1	0	0	0	0	0
FBgn0001247	1141	1221	1204	416	443	389	1029	1410	1243.002	472	451	402
FBgn0001248	5881.01	6806.998	7233.024	1823	1871.006	1622.999	6188	5696	6811.902	2311	2405	2247.929
FBgn0001250	562	767	764	0	0	0	411	1011	629.999	592.994	602	491
FBgn0001253	2	1	0	0	0	0	0	1	0	1	0	2
FBgn0001254	0	0	0	0	2	0	0	4	0	0	0	0
FBgn0001255	10	4	1	5	6	2	2	0	5	0	0	1
FBgn0001256	17	22	14	3	0	0	0	0	1	1	0	1
FBgn0001257	13	13	11	12	34	7.013	11	11	5	11	10	3
FBgn0001258	557	1300	2068.001	233	284	286	84	68	54	15	20	29
FBgn0001259	3	0	0	0	0	0	0	0	0	0	0	0
FBgn0001263	0	0	0	0	0	0	1	0	0	0	0	1
FBgn0001269	7	9	5	2	6	6	14	7	16	5	4	11
FBgn0001276	128	151	190	56	67	60	123	103	148	74	120	86
FBgn0001280	286	316	359	169	168	179	436.999	344	434	277	266	320
FBgn0001285	8	2	0	1	0	1	25	0	0	0	0	0
FBgn0001291	435.431	481	519	205	267	241	638	649	590	269	235	257
FBgn0001296	479	371	472	216	329	275	150	232	230	239	344	326
FBgn0001297	823.001	899	909	623.999	545.001	506.001	635	1089	849.999	537.001	569.001	476.001
FBgn0001301	577	331	289	229	281	266	280	494	440.104	471.432	458.79	434
FBgn0001308	1545	1653	1620	763	790	656	1531	1834.75	1696	802	729	737
